dança dançou
diminuir diminuiu
descrever descreveu
melhorar melhoroou
cair caiu
alimentar alimentou
voar voou
gerar gerou
ir foi
esconder escondeu
bater bateu
implementar implementou
aumentar aumentou
saltar saltou
saber sabia
escutar escutou
olhar olhou
mover moveu
pagar pagou
jogar jogou
prever previu
ler leu
correr correu
dizer disse
gritar gritou
ver viu
vender vendeu
encolher encolheu
cantar cantou
estar esteve
dormir dormiu
gastar gastou
golpear golpeou
nadar nadou
levar levou
pensar pensou
desaparecer desapareceu
andar andou
escrever escreveu
