incrível incrivelmente
aparente aparentemente
calmo calmamente
alegre alegremente
completo completamente
eficiente eficientemente
feliz felizmente
livre livremente
furioso furiosamente
imediato imediatamente
frequente frequentemente
sorte sortimente
óbvio obviamente
ocasional ocasionalmente
possível possivelmente
precisa precisamente
profissional profissionalmente
rápida rapidamente
quieto quietamente
rápido rapidamente
raro raramente
relutante relutantemente
seguro seguramente
sério seriamente
lento lentamente
súbito subitamente
veloz velozmente
típico tipicamente
infeliz infelizmente
normal normalmente
